ID,x.coord,y.coord,angle,distance,RSSI,rel,dist1
6,0,0,150,5,-57,113.1301024,"(4,5]"
7,0,0,180,5,-59,143.1301024,"(4,5]"
9,0,0,240,5,-59,-156.8698976,"(4,5]"
11,0,0,300,5,-58,-96.86989765,"(4,5]"
14,0,1,30,4.472135955,-59,3.434948823,"(4,5]"
17,0,1,120,4.472135955,-59,93.43494882,"(4,5]"
18,0,1,150,4.472135955,-58,123.4349488,"(4,5]"
19,0,1,180,4.472135955,-59,153.4349488,"(4,5]"
20,0,1,210,4.472135955,-60,-176.5650512,"(4,5]"
21,0,1,240,4.472135955,-56,-146.5650512,"(4,5]"
22,0,1,270,4.472135955,-48,-116.5650512,"(4,5]"
23,0,1,300,4.472135955,-48,-86.56505118,"(4,5]"
24,0,1,330,4.472135955,-50,-56.56505118,"(4,5]"
25,0,2,0,4.123105626,-47,-14.03624347,"(4,5]"
26,0,2,30,4.123105626,-52,15.96375653,"(4,5]"
27,0,2,60,4.123105626,-57,45.96375653,"(4,5]"
29,0,2,120,4.123105626,-59,105.9637565,"(4,5]"
32,0,2,210,4.123105626,-58,-164.0362435,"(4,5]"
33,0,2,240,4.123105626,-50,-134.0362435,"(4,5]"
34,0,2,270,4.123105626,-46,-104.0362435,"(4,5]"
35,0,2,300,4.123105626,-44,-74.03624347,"(4,5]"
36,0,2,330,4.123105626,-44,-44.03624347,"(4,5]"
37,0,3,0,4,-41,0,"(3,4]"
38,0,3,30,4,-42,30,"(3,4]"
39,0,3,60,4,-46,60,"(3,4]"
40,0,3,90,4,-52,90,"(3,4]"
41,0,3,120,4,-58,120,"(3,4]"
43,0,3,180,4,-60,180,"(3,4]"
46,0,3,270,4,-53,-90,"(3,4]"
47,0,3,300,4,-46,-60,"(3,4]"
48,0,3,330,4,-42,-30,"(3,4]"
49,0,4,0,4.123105626,-44,14.03624347,"(4,5]"
51,0,4,60,4.123105626,-44,74.03624347,"(4,5]"
52,0,4,90,4.123105626,-45,104.0362435,"(4,5]"
53,0,4,120,4.123105626,-48,134.0362435,"(4,5]"
54,0,4,150,4.123105626,-56,164.0362435,"(4,5]"
56,0,4,210,4.123105626,-58,-135.9637565,"(4,5]"
57,0,4,240,4.123105626,-59,-105.9637565,"(4,5]"
59,0,4,300,4.123105626,-62,-45.96375653,"(4,5]"
60,0,4,330,4.123105626,-53,-15.96375653,"(4,5]"
61,0,5,0,4.472135955,-53,26.56505118,"(4,5]"
62,0,5,30,4.472135955,-50,56.56505118,"(4,5]"
63,0,5,60,4.472135955,-46,86.56505118,"(4,5]"
64,0,5,90,4.472135955,-46,116.5650512,"(4,5]"
65,0,5,120,4.472135955,-50,146.5650512,"(4,5]"
66,0,5,150,4.472135955,-56,176.5650512,"(4,5]"
69,0,5,240,4.472135955,-62,-93.43494882,"(4,5]"
83,0,6,300,5,-59,-23.13010235,"(4,5]"
85,1,0,0,4.242640687,-56,-45,"(4,5]"
86,1,0,30,4.242640687,-59,-15,"(4,5]"
89,1,0,120,4.242640687,-58,75,"(4,5]"
90,1,0,150,4.242640687,-56,105,"(4,5]"
91,1,0,180,4.242640687,-57,135,"(4,5]"
94,1,0,270,4.242640687,-53,-135,"(4,5]"
95,1,0,300,4.242640687,-53,-105,"(4,5]"
96,1,0,330,4.242640687,-53,-75,"(4,5]"
97,1,1,0,3.605551275,-53,-33.69006753,"(3,4]"
98,1,1,30,3.605551275,-57,-3.690067526,"(3,4]"
101,1,1,120,3.605551275,-59,86.30993247,"(3,4]"
102,1,1,150,3.605551275,-57,116.3099325,"(3,4]"
103,1,1,180,3.605551275,-58,146.3099325,"(3,4]"
104,1,1,210,3.605551275,-59,176.3099325,"(3,4]"
105,1,1,240,3.605551275,-59,-153.6900675,"(3,4]"
106,1,1,270,3.605551275,-51,-123.6900675,"(3,4]"
107,1,1,300,3.605551275,-50,-93.69006753,"(3,4]"
108,1,1,330,3.605551275,-50,-63.69006753,"(3,4]"
109,1,2,0,3.16227766,-47,-18.43494882,"(3,4]"
110,1,2,30,3.16227766,-54,11.56505118,"(3,4]"
